Date,Open,High,Low,Close,Adj Close,Volume
3/11/2015,124.75,124.769997,122.110001,122.239998,116.589638,68939000
3/12/2015,122.309998,124.900002,121.629997,124.449997,118.697479,48362700
3/13/2015,124.400002,125.400002,122.580002,123.589996,117.877243,51827300
3/16/2015,123.879997,124.949997,122.870003,124.949997,119.174377,35874300
3/17/2015,125.900002,127.32,125.650002,127.040001,121.16777,51023100
3/18/2015,127,129.160004,126.370003,128.470001,122.531677,65270900
3/19/2015,128.75,129.25,127.400002,127.5,121.606522,45809500
3/20/2015,128.25,128.399994,125.160004,125.900002,120.080482,68695100
3/23/2015,127.120003,127.849998,126.519997,127.209999,121.329918,37709700
3/24/2015,127.230003,128.039993,126.559998,126.690002,120.833961,32842300
3/25/2015,126.540001,126.82,123.379997,123.379997,117.676964,51655200
3/26/2015,122.760002,124.879997,122.599998,124.239998,118.497215,47572900
3/27/2015,124.57,124.699997,122.910004,123.25,117.552971,39546200
3/30/2015,124.050003,126.400002,124,126.370003,120.528755,47099700
3/31/2015,126.089996,126.489998,124.360001,124.43,118.678413,42090600
4/1/2015,124.82,125.120003,123.099998,124.25,118.506744,40621400
4/2/2015,125.029999,125.559998,124.190002,125.32,119.527283,32220100
4/6/2015,124.470001,127.510002,124.330002,127.349998,121.46344,37194000
4/7/2015,127.639999,128.119995,125.980003,126.010002,120.185402,35012300
4/8/2015,125.849998,126.400002,124.970001,125.599998,119.794342,37329200
4/9/2015,125.849998,126.580002,124.660004,126.559998,120.709961,32484000
4/10/2015,125.949997,127.209999,125.260002,127.099998,121.225006,40188000
4/13/2015,128.369995,128.570007,126.610001,126.849998,120.986565,36365100
4/14/2015,127,127.290001,125.910004,126.300003,120.46199,25524600
4/15/2015,126.410004,127.129997,126.010002,126.779999,120.919792,28970400
4/16/2015,126.279999,127.099998,126.110001,126.169998,120.33799,28369000
4/17/2015,125.550003,126.139999,124.459999,124.75,118.983627,51957000
4/20/2015,125.57,128.119995,125.169998,127.599998,121.701889,47054300
4/21/2015,128.100006,128.199997,126.669998,126.910004,121.0438,32435100
4/22/2015,126.989998,128.869995,126.32,128.619995,122.674751,37654500
4/23/2015,128.300003,130.419998,128.139999,129.669998,123.676208,45770900
4/24/2015,130.490005,130.630005,129.229996,130.279999,124.257996,44525900
4/27/2015,132.309998,133.130005,131.149994,132.649994,126.518456,96954200
4/28/2015,134.460007,134.539993,129.570007,130.559998,124.525078,118924000
4/29/2015,130.160004,131.589996,128.300003,128.639999,122.693825,63386100
4/30/2015,128.639999,128.639999,124.580002,125.150002,119.365135,83195400
5/1/2015,126.099998,130.130005,125.300003,128.949997,122.989487,58512600
5/4/2015,129.5,130.570007,128.259995,128.699997,122.751053,50988300
5/5/2015,128.149994,128.449997,125.779999,125.800003,119.985092,49271400
5/6/2015,126.559998,126.75,123.360001,125.010002,119.231606,72141000
5/7/2015,124.769997,126.080002,124.019997,125.260002,119.969086,43940900
5/8/2015,126.68,127.620003,126.110001,127.620003,122.229424,55550400
5/11/2015,127.389999,127.559998,125.629997,126.32,120.984306,42035800
5/12/2015,125.599998,126.879997,124.82,125.870003,120.553329,48160000
5/13/2015,126.150002,127.190002,125.870003,126.010002,120.687416,34694200
5/14/2015,127.410004,128.949997,127.160004,128.949997,123.503227,45203500
5/15/2015,129.070007,129.490005,128.210007,128.770004,123.330833,38208000
5/18/2015,128.380005,130.720001,128.360001,130.190002,124.690865,50882900
5/19/2015,130.690002,130.880005,129.639999,130.070007,124.575912,44633200
5/20/2015,130,130.979996,129.339996,130.059998,124.566338,36454900
5/21/2015,130.070007,131.630005,129.830002,131.389999,125.840164,39730400
5/22/2015,131.600006,132.970001,131.399994,132.539993,126.941574,45596000
5/26/2015,132.600006,132.910004,129.119995,129.619995,124.14492,70697600
5/27/2015,130.339996,132.259995,130.050003,132.039993,126.462708,45833200
5/28/2015,131.860001,131.949997,131.100006,131.779999,126.213676,30733300
5/29/2015,131.229996,131.449997,129.899994,130.279999,124.777046,50884500
6/1/2015,130.279999,131.389999,130.050003,130.539993,125.026062,32112800
6/2/2015,129.860001,130.660004,129.320007,129.960007,124.470581,33667600
6/3/2015,130.660004,130.940002,129.899994,130.119995,124.623802,30889400
6/4/2015,129.580002,130.580002,128.910004,129.360001,123.895912,38450100
6/5/2015,129.5,129.690002,128.360001,128.649994,123.215904,35626800
6/8/2015,128.899994,129.210007,126.830002,127.800003,122.401802,52674800
6/9/2015,126.699997,128.080002,125.620003,127.419998,122.037849,56075400
6/10/2015,127.919998,129.339996,127.849998,128.880005,123.436188,39087300
6/11/2015,129.179993,130.179993,128.479996,128.589996,123.158417,35390900
6/12/2015,128.190002,128.330002,127.110001,127.169998,121.798416,36886200
6/15/2015,126.099998,127.239998,125.709999,126.919998,121.558975,43988900
6/16/2015,127.029999,127.849998,126.370003,127.599998,122.210251,31494100
6/17/2015,127.720001,127.879997,126.739998,127.300003,121.92292,32918100
6/18/2015,127.230003,128.309998,127.220001,127.879997,122.478409,35407200
6/19/2015,127.709999,127.82,126.400002,126.599998,121.252487,54716900
6/22/2015,127.489998,128.059998,127.080002,127.610001,122.219826,34039300
6/23/2015,127.480003,127.610001,126.879997,127.029999,121.664322,30268900
