Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
2016-07-05,36.13999939,36.47800064,35.98049927,36.40499878,48628000,6.0,3.0,6.0,3.0,4.0,8.0,
2016-07-06,36.28549957,36.88850021,36.12900162,36.88050079,78764000,,6.0,3.0,4.0,3.0,4.0,4.0
2016-07-07,36.96649933,36.97750092,36.58150101,36.82849884,58916000,,3.0,4.0,,4.0,3.0,
2016-07-08,37.00699997,37.30500031,36.90000153,37.29050064,68584000,6.0,5.0,6.0,5.0,4.0,6.0,6.0
2016-07-11,37.5,37.79499817,37.34999847,37.68899918,63906000,,8.0,4.0,,4.0,6.0,4.0
2016-07-12,37.8429985,37.86700058,37.01649857,37.41049957,112474000,5.0,5.0,,4.0,4.0,6.0,
2016-07-13,37.33800125,37.84349823,37.0625,37.13150024,82846000,,3.0,2.0,2.0,2.0,5.0,
2016-07-14,37.44300079,37.45199966,36.95100021,37.06000137,47810000,8.0,3.0,8.0,6.0,8.0,3.0,8.0
2016-07-15,37.32749939,37.32749939,36.70249939,36.77199936,62428000,,5.0,2.0,2.0,2.0,3.0,
2016-07-18,36.7745018,37.08000183,36.43600082,36.80350113,59098000,,6.0,3.0,7.0,,7.0,3.0
2016-07-19,36.625,37.16650009,36.6155014,36.99750137,44336000,12.0,8.0,18.0,,18.0,8.0,
2016-07-20,37.20000076,37.3125,37.03499985,37.2859993,44280000,12.0,21.0,,21.0,12.0,,
2016-07-21,37.375,37.4679985,37.13949966,37.2215004,46342000,12.0,,6.0,6.0,,,
2016-07-22,37.38949966,37.56399918,37.17649841,37.24300003,45554000,6.0,6.0,6.0,6.0,,12.0,12.0
2016-07-25,37.32749939,37.42499924,36.76750183,36.98049927,53586000,6.0,6.0,6.0,,6.0,12.0,
2016-07-26,37.13550186,37.15650177,36.63750076,36.77949905,50594000,4.0,4.0,6.0,4.0,6.0,4.0,4.0
2016-07-27,36.89849854,37.04700089,36.69300079,36.83349991,58262000,,12.0,6.0,,6.0,6.0,6.0
2016-07-28,37.29899979,37.66799927,36.98500061,37.63050079,152352000,18.0,18.0,,12.0,12.0,12.0,
2016-07-29,38.25,38.29999924,37.75,37.94049835,135542000,20.0,,8.0,15.0,15.0,,18.0
2016-08-01,37.99349976,38.52500153,37.85300064,38.38700104,71564000,,,18.0,18.0,,18.0,18.0
2016-08-02,38.19049835,38.25049973,37.85100174,38.02899933,72066000,,10.0,10.0,,8.0,12.0,
2016-08-03,37.85300064,37.94449997,37.61249924,37.73199844,71630000,4.0,4.0,6.0,4.0,6.0,4.0,4.0
2016-08-04,37.68500137,38.25,37.51750183,38.03850174,63564000,,12.0,6.0,,6.0,6.0,6.0
